Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,128.48165352845237,0.059113505953769435,0.12162913526465649,0.03213213593628091
1.35,0.01,129.0399531017774,0.05991540008645508,0.11884041668474658,0.029216975823298234
1.35,0.01,129.60299638878593,0.06042083806048116,0.1160655172237934,0.02667743523873435
1.35,0.01,130.1708527701757,0.05658862803021087,0.11330503041107498,0.028390180800954692
1.35,0.01,130.7435754020904,0.052443363480634386,0.11055964493986227,0.030549140895716066
1.35,0.01,131.32122706010247,0.05253623717274203,0.10783001761537543,0.028353905742126064
1.35,0.01,131.9038716041819,0.05143980304376541,0.10511681574769093,0.02740971244537221
1.35,0.01,132.4915830241127,0.05094604792172343,0.1024206759902283,0.02587014105475837
1.35,0.01,133.08441855975875,0.04864665281046467,0.09974232799739645,0.026175126199947767
1.35,0.01,133.68245465589507,0.04719356633090319,0.09708242951039722,0.025636963165159787
1.35,0.01,134.2857414682518,0.042409660145243964,0.09444177019910367,0.02866676970316534
1.35,0.01,134.89436710243038,0.04281447543829382,0.09182098753482985,0.026155656700565702
1.35,0.01,135.50840270029965,0.03995678084257951,0.0892208103815693,0.027201553046191592
1.35,0.01,136.1279111494172,0.04078420750124268,0.08664201648002205,0.024271580115164035
1.35,0.01,136.75296589633274,0.03803888182239996,0.08408535261161913,0.025215776663692426
1.35,0.01,137.3836417076972,0.036313547431573084,0.08155157458408295,0.02509429291939934
1.35,0.01,138.02002449057264,0.03621126381693898,0.07904140869283888,0.02320835800408466
1.35,0.01,138.66218213411327,0.03266518292941444,0.07655566693470518,0.025163056679549267
1.35,0.01,139.31019355108378,0.03175933226256694,0.0740951304454951,0.024189441289992272
1.35,0.01,139.96414916685558,0.029477939018634474,0.0716605509910401,0.02483057593343118
1.35,0.01,140.62411077467686,0.02761892454132398,0.06925279941171691,0.02502973961266705
1.35,0.01,141.29019221516216,0.026926453852437287,0.06687256876804916,0.023861683889937094
1.35,0.01,141.962447895047,0.02621358057440966,0.06452077876502181,0.022743703056640297
