Trial,Angular Diameter,Visibility Value,Chi-Squared Value
0,1.4819999999999909,1.0,3.0733860631297922
1,1.4879999999999902,1.01,2.6589983564782083
2,1.4929999999999897,1.02,3.2037358577412816
3,1.4819999999999909,1.01,2.8644954949129717
4,1.4849999999999905,1.01,2.6900514627195387
5,1.4879999999999902,1.01,3.3237196042294035
6,1.4839999999999907,1.01,2.7462704079641207
7,1.4769999999999914,1.0,2.4524607883943057
8,1.4929999999999897,1.02,3.0595496058147926
9,1.4849999999999905,1.01,2.5978229485556064
10,1.4849999999999905,1.01,2.678156309746396
11,1.470999999999992,0.99,2.7197475706436514
12,1.4849999999999905,1.01,2.670352866442943
13,1.4849999999999905,1.01,2.801539951929557
14,1.4879999999999902,1.01,2.8296705315784867
15,1.4879999999999902,1.01,3.1370621110936416
16,1.4699999999999922,1.0,3.6518441705477067
17,1.4879999999999902,1.02,2.891075632670311
18,1.4879999999999902,1.01,2.8175769272058173
19,1.4879999999999902,1.02,3.5958539950604433
20,1.4929999999999897,1.02,3.2952395452441183
21,1.4879999999999902,1.01,3.382044374610505
22,1.4879999999999902,1.01,2.873272529879169
23,1.4879999999999902,1.01,2.942995115341851
24,1.4779999999999913,1.0,2.432916993410576
25,1.4929999999999897,1.02,3.3907552545664346
26,1.4849999999999905,1.01,3.1371448688688597
27,1.4919999999999898,1.02,3.3339504150986223
28,1.4569999999999936,0.98,3.560493030985705
29,1.4919999999999898,1.02,3.045172070789246
30,1.4879999999999902,1.01,3.0308455870934954
31,1.4849999999999905,1.01,2.9827845944314597
32,1.4919999999999898,1.02,3.176921536084773
33,1.4929999999999897,1.02,3.001161937671981
34,1.4839999999999907,1.01,3.1063166204452473
35,1.4879999999999902,1.01,2.9185061541396657
36,1.4819999999999909,1.01,2.919917110839755
37,1.4929999999999897,1.02,3.3294530892890584
38,1.4879999999999902,1.01,3.216323295807496
39,1.4879999999999902,1.01,3.1636865507846483
40,1.480999999999991,1.01,2.838194606508141
41,1.4879999999999902,1.01,3.280771311291221
42,1.4849999999999905,1.01,3.1030538485774564
43,1.4849999999999905,1.01,2.989123557605564
44,1.4929999999999897,1.02,2.98810426805295
45,1.4849999999999905,1.01,2.4513778234328107
46,1.4849999999999905,1.01,3.1719800781400362
47,1.48899999999999,1.01,3.0923649772873754
48,1.4929999999999897,1.02,2.9815293440840382
49,1.4879999999999902,1.01,2.8388556974948482
50,1.4639999999999929,0.99,3.0936567216191513
51,1.4879999999999902,1.01,2.9845801277839645
52,1.480999999999991,1.0,2.6616851844576246
53,1.4839999999999907,1.01,2.652633100695464
