Trial,Angular Diameter,Visibility Value,Chi-Squared Value
0,1.4849999999999905,1.01,2.800583586585639
1,1.4879999999999902,1.01,2.6490677871268735
2,1.4849999999999905,1.01,2.7352909129231255
3,1.4879999999999902,1.01,3.2062643070731665
4,1.4929999999999897,1.02,3.0733310662491076
5,1.4819999999999909,1.01,2.6056027068290963
6,1.4879999999999902,1.01,2.925933355671572
7,1.4879999999999902,1.02,3.0734664730071777
8,1.4849999999999905,1.01,3.3189304099889845
9,1.4949999999999894,1.02,3.477383949079168
10,1.4879999999999902,1.01,2.871571368627983
11,1.4649999999999928,0.99,3.097097146555981
12,1.4869999999999903,1.01,3.230595465528101
13,1.4879999999999902,1.01,3.0926695873267205
14,1.4849999999999905,1.01,2.6765873197144314
15,1.4849999999999905,1.01,3.0763887728337584
16,1.4839999999999907,1.01,2.3975716460230436
17,1.4929999999999897,1.02,3.458365758191188
18,1.4859999999999904,1.01,2.510044085638868
19,1.4879999999999902,1.01,2.9843989846023793
20,1.4849999999999905,1.01,2.88453488638985
21,1.4879999999999902,1.01,3.0638075207743434
22,1.480999999999991,1.01,2.9466620202144425
23,1.4839999999999907,1.0,2.8242315144020287
24,1.4849999999999905,1.01,2.9720939062081793
25,1.4879999999999902,1.02,2.842972906612442
26,1.4929999999999897,1.02,3.918421773780865
27,1.4839999999999907,1.0,2.762405498000594
28,1.4879999999999902,1.01,3.5517754027868205
29,1.4699999999999922,0.99,2.7116172435228623
30,1.4879999999999902,1.01,2.9740589481680484
31,1.4879999999999902,1.01,3.6253638694878965
32,1.4879999999999902,1.01,3.4583096007115315
33,1.4849999999999905,1.01,2.6662295638247784
34,1.480999999999991,1.0,2.9670914711318863
35,1.4879999999999902,1.01,3.1529012993117465
36,1.4819999999999909,1.01,2.804940306319301
37,1.4849999999999905,1.01,2.623822501444042
38,1.4869999999999903,1.01,2.8126626951163245
39,1.4879999999999902,1.01,2.9386805377191934
40,1.4919999999999898,1.02,2.868368650364228
41,1.4879999999999902,1.01,3.300921180011172
42,1.48899999999999,1.02,3.0323199031348707
43,1.4849999999999905,1.01,2.7148698254188903
44,1.4879999999999902,1.01,2.7463075633263894
45,1.470999999999992,1.0,3.359610683509335
46,1.4879999999999902,1.01,2.9684635106050834
47,1.4839999999999907,1.01,2.8724823919691556
48,1.4819999999999909,1.01,2.658913404863741
49,1.4849999999999905,1.01,2.923815303466635
50,1.4879999999999902,1.01,3.2667947394399652
51,1.480999999999991,1.01,2.852429249010835
52,1.4839999999999907,1.01,2.7820362006107895
53,1.4879999999999902,1.01,3.3858047895122345
54,1.4849999999999905,1.01,2.8167266261820596
