Trial,Angular Diameter,Visibility Value,Chi-Squared Value
0,1.487999999999985,1.02,3.234891488540726
1,1.4919999999999844,1.01,3.0592385958076944
2,1.487999999999985,1.01,2.9380551223989775
3,1.487999999999985,1.01,2.9232460674484053
4,1.487999999999985,1.01,2.6985060528798273
5,1.4839999999999853,1.01,2.6086509294771245
6,1.4809999999999857,1.01,3.3035848411125657
7,1.4819999999999856,1.01,2.6256172304537913
8,1.486999999999985,1.01,2.8045746704634102
9,1.487999999999985,1.02,3.7257731608418125
10,1.477999999999986,1.0,2.9280436352430113
11,1.4699999999999869,0.99,3.0735274543248803
12,1.4929999999999843,1.02,3.4462951120998393
13,1.4849999999999852,1.01,2.8448472095078676
14,1.4639999999999875,0.99,2.9901593782476494
15,1.487999999999985,1.01,3.1629889578102013
16,1.487999999999985,1.01,2.9726338530166054
17,1.487999999999985,1.01,2.818753395070264
18,1.4709999999999868,1.0,3.1679823035742154
19,1.487999999999985,1.02,3.0237495582115907
20,1.4819999999999856,1.01,2.72210529866834
21,1.486999999999985,1.01,2.543404177097004
22,1.487999999999985,1.01,3.036359775237276
23,1.487999999999985,1.01,3.243053968549588
24,1.4639999999999875,0.99,2.828274838699715
25,1.4819999999999856,1.01,2.631825036767739
26,1.4849999999999852,1.01,2.7635255661016203
27,1.4929999999999843,1.02,2.9540150098370197
28,1.487999999999985,1.01,2.7207579122996512
29,1.487999999999985,1.02,3.169145128440003
30,1.4839999999999853,1.01,2.976290256773891
31,1.4929999999999843,1.02,3.3155875170767333
32,1.487999999999985,1.01,2.762175448385415
33,1.487999999999985,1.01,2.9916058177674603
34,1.4819999999999856,1.01,2.7791422893438256
35,1.4849999999999852,1.01,2.9216951022463418
36,1.4849999999999852,1.01,2.7486468430460222
37,1.4929999999999843,1.02,3.1091736010863205
38,1.487999999999985,1.01,3.1358167781792434
39,1.4929999999999843,1.02,3.1378099954389462
40,1.487999999999985,1.01,3.1938443140243344
41,1.4919999999999844,1.02,3.513237122252722
42,1.477999999999986,1.0,2.5528422083153672
43,1.4839999999999853,1.0,3.106946032198771
44,1.4949999999999841,1.02,3.5412119569428686
45,1.4929999999999843,1.02,3.4758222544530506
46,1.4639999999999875,0.99,2.978828064762442
47,1.4929999999999843,1.02,3.0307831957263933
48,1.4849999999999852,1.01,2.8791799970516863
49,1.4709999999999868,0.99,2.9728502966024077
50,1.487999999999985,1.01,3.8303604208952273
51,1.4709999999999868,0.99,3.044906453900891
52,1.487999999999985,1.01,3.2443549053352556
53,1.486999999999985,1.01,3.3891139000953983
54,1.4839999999999853,1.01,2.6607170216723137
55,1.4849999999999852,1.01,3.207609270959481
56,1.4929999999999843,1.02,3.374790621582117
57,1.4849999999999852,1.01,3.277247712059593
58,1.4709999999999868,0.99,2.411113065717197
59,1.487999999999985,1.01,3.0040759050588983
60,1.487999999999985,1.01,3.2754820374397147
61,1.4839999999999853,1.01,2.8043755715629897
62,1.4809999999999857,1.0,2.7803279194022603
63,1.487999999999985,1.01,3.3215498765098377
64,1.4849999999999852,1.01,3.4848461063586167
65,1.487999999999985,1.01,3.060080597808732
66,1.487999999999985,1.01,2.995888880072812
67,1.4819999999999856,1.01,2.7349830486436755
68,1.4849999999999852,1.01,2.7886516057402444
69,1.487999999999985,1.02,3.2492318519454946
70,1.4849999999999852,1.01,2.792751080117386
71,1.4699999999999869,0.99,3.0655751759048737
72,1.4699999999999869,0.99,3.297933314990984
73,1.487999999999985,1.01,2.8344887072918996
74,1.487999999999985,1.01,2.8406631533435744
75,1.487999999999985,1.02,3.674008313409324
76,1.487999999999985,1.01,2.8712789057316117
77,1.4919999999999844,1.02,3.249226081048228
78,1.487999999999985,1.01,2.762069659445117
79,1.4849999999999852,1.01,3.0112901556514853
80,1.4839999999999853,1.01,3.5223223818276868
81,1.4819999999999856,1.01,2.743370259102656
82,1.487999999999985,1.02,3.297655996430284
83,1.477999999999986,1.0,3.0675055328422918
84,1.487999999999985,1.01,2.6299399462306137
85,1.4709999999999868,1.0,3.522816337122662
86,1.4949999999999841,1.02,3.293503509200514
87,1.4699999999999869,0.99,2.547209500969463
88,1.487999999999985,1.01,2.6791309287368104
89,1.4929999999999843,1.02,3.095938369615176
90,1.4809999999999857,1.01,2.80346287255485
91,1.4849999999999852,1.01,2.5913024467753005
92,1.487999999999985,1.01,3.2430816636438085
93,1.487999999999985,1.01,3.055543009457236
94,1.4809999999999857,1.01,2.524025123010077
95,1.487999999999985,1.01,3.194840588334689
96,1.4929999999999843,1.02,3.2891077903734867
97,1.486999999999985,1.01,2.5975840567830013
98,1.487999999999985,1.01,2.7962620982998057
99,1.4849999999999852,1.01,2.664336401453459
100,1.487999999999985,1.01,3.6066884877524594
101,1.487999999999985,1.02,3.3805962098576785
102,1.487999999999985,1.01,2.753393230708255
103,1.4639999999999875,0.99,2.918218892919882
104,1.487999999999985,1.01,3.0712794598791153
105,1.4639999999999875,0.99,2.9974220590260074
106,1.487999999999985,1.01,3.025617058374532
107,1.4839999999999853,1.01,2.600702229542486
108,1.4919999999999844,1.02,3.1533737992324666
109,1.487999999999985,1.02,3.2839658589758116
110,1.4819999999999856,1.01,2.861084768142544
111,1.4809999999999857,1.01,2.7381970260732693
112,1.4919999999999844,1.02,3.332966687817556
113,1.4929999999999843,1.02,3.244164998789421
114,1.487999999999985,1.01,2.923684699920415
115,1.4889999999999848,1.01,3.1268974986016187
116,1.4919999999999844,1.01,2.990896161162044
117,1.4849999999999852,1.01,2.6144710723128353
118,1.4839999999999853,1.01,2.56154572490225
119,1.4719999999999867,0.99,2.8662371166736555
120,1.4699999999999869,0.99,2.9116337337309868
121,1.4819999999999856,1.01,3.0078290877137515
122,1.487999999999985,1.01,2.5763948360404654
123,1.486999999999985,1.01,2.887605772530236
124,1.487999999999985,1.01,2.8300492859343356
125,1.4819999999999856,1.01,3.137863184284716
126,1.4839999999999853,1.01,2.840367624712608
127,1.487999999999985,1.01,2.885780960337788
128,1.4839999999999853,1.01,2.818032376072563
129,1.4639999999999875,0.99,2.6230430480005933
130,1.4849999999999852,1.01,2.767900255459607
131,1.4889999999999848,1.02,2.7295142912932993
132,1.487999999999985,1.01,3.238968565011198
133,1.4849999999999852,1.01,2.8052754735134786
134,1.4839999999999853,1.01,3.104271720265121
135,1.487999999999985,1.02,2.8248257541270263
136,1.4929999999999843,1.02,3.171163690567345
137,1.476999999999986,1.0,2.8301733325479486
138,1.4849999999999852,1.01,2.8760570752163677
139,1.4849999999999852,1.01,2.9293482723942335
140,1.4849999999999852,1.01,2.4507202862137247
141,1.4839999999999853,1.01,3.1425217013962983
142,1.4929999999999843,1.02,2.846032342681699
143,1.487999999999985,1.02,3.430695585193711
144,1.4849999999999852,1.01,3.0423634800913026
145,1.4639999999999875,0.99,3.521483642735198
146,1.4849999999999852,1.01,2.9516399894668788
147,1.487999999999985,1.01,2.83926637018094
148,1.487999999999985,1.01,2.7615414586438907
149,1.4849999999999852,1.01,2.6286969475222195
150,1.487999999999985,1.01,3.034061335674842
151,1.487999999999985,1.01,2.744327353500183
152,1.4929999999999843,1.02,3.058670333664884
153,1.4849999999999852,1.01,2.7670913280116776
154,1.4709999999999868,1.0,3.210952863588707
155,1.4839999999999853,1.01,2.7121668773503074
156,1.4929999999999843,1.02,3.442969818888233
157,1.4889999999999848,1.01,2.8959005911365385
158,1.4919999999999844,1.02,2.9519489432794566
159,1.4849999999999852,1.01,3.3199351223377658
160,1.4849999999999852,1.01,2.6999138362343915
161,1.487999999999985,1.01,3.2146188610975646
162,1.487999999999985,1.01,2.9290542420985024
163,1.487999999999985,1.01,3.040585945824266
164,1.487999999999985,1.02,2.56919443257033
165,1.487999999999985,1.01,2.9956926645558104
166,1.486999999999985,1.01,2.7829609029856823
167,1.4929999999999843,1.02,3.33597322702309
168,1.487999999999985,1.01,2.8849474624845435
169,1.4929999999999843,1.02,3.1360379745990286
170,1.4849999999999852,1.01,2.6592714749990356
171,1.4949999999999841,1.02,3.9930794759415313
172,1.487999999999985,1.01,3.0435990966546913
173,1.4929999999999843,1.02,3.0365173946930564
174,1.487999999999985,1.01,3.0227447655901116
175,1.487999999999985,1.01,2.6056531188877083
176,1.487999999999985,1.01,2.5963141052104226
177,1.4929999999999843,1.02,3.474267778034626
178,1.487999999999985,1.01,3.3331797254863447
179,1.4709999999999868,1.0,3.0271592743434987
180,1.487999999999985,1.02,2.893310298746661
181,1.4849999999999852,1.01,2.6269549892244806
182,1.487999999999985,1.01,3.1218452281424725
183,1.4819999999999856,1.0,2.8330888159585776
184,1.4699999999999869,0.99,2.5061320244598497
185,1.4839999999999853,1.01,2.679765699231494
186,1.487999999999985,1.02,2.986611058572036
187,1.4699999999999869,0.99,2.3969011946936702
188,1.487999999999985,1.02,2.860842613238203
189,1.4819999999999856,1.01,2.5182934314794254
190,1.4839999999999853,1.01,2.794307490242043
191,1.4699999999999869,0.99,3.1651426765576662
192,1.4809999999999857,1.01,2.688396610907841
193,1.487999999999985,1.01,3.085050390345138
194,1.4569999999999883,0.98,3.0055853107572013
195,1.487999999999985,1.01,2.8699687879417417
196,1.487999999999985,1.02,2.981043365904383
197,1.4919999999999844,1.02,3.9356763540721817
198,1.4849999999999852,1.01,3.3695770053279057
199,1.4849999999999852,1.01,3.194927065136443
200,1.4849999999999852,1.01,2.9304433181192344
201,1.487999999999985,1.01,3.226768179409593
202,1.487999999999985,1.01,2.9292525337095374
203,1.4699999999999869,0.99,2.6899981035131937
204,1.4649999999999874,0.99,2.8536832557600866
205,1.4839999999999853,1.01,3.2030469735379983
206,1.487999999999985,1.01,2.9837476553709528
207,1.4839999999999853,1.01,3.190074642723479
208,1.487999999999985,1.01,2.8598067139139647
209,1.4849999999999852,1.02,2.8582994853300847
